"pick_number","name","code","year","all_star","all_nba1","all_nba2","all_nba3"
1,"Smith,Joe","smithjo02",1995,0,0,0,0
2,"McDyess,Antonio","mcdyean01",1995,1,0,0,1
3,"Stackhouse,Jerry","stackje01",1995,2,0,0,0
4,"Wallace,Rasheed","wallara01",1995,4,0,0,0
5,"Garnett,Kevin","garneke01",1995,15,4,3,2
6,"Reeves,Bryant","reevebr01",1995,0,0,0,0
7,"Stoudamire,Damon","stoudda01",1995,0,0,0,0
8,"Respert,Shawn","respesh01",1995,0,0,0,0
9,"O'Bannon,Ed","obanned01",1995,0,0,0,0
10,"Thomas,Kurt","thomaku01",1995,0,0,0,0
11,"Trent,Gary","trentga01",1995,0,0,0,0
12,"Parks,Cherokee","parksch02",1995,0,0,0,0
13,"Williamson,Corliss","willico02",1995,0,0,0,0
14,"Williams,Eric","willier01",1995,0,0,0,0
15,"Barry,Brent","barrybr01",1995,0,0,0,0
16,"Henderson,Alan","hendeal01",1995,0,0,0,0
17,"Sura,Bob","surabo01",1995,0,0,0,0
18,"Ratliff,Theo","ratlith01",1995,1,0,0,0
19,"Childress,Randolph","childra01",1995,0,0,0,0
20,"Caffey,Jason","caffeja01",1995,0,0,0,0
21,"Finley,Michael","finlemi01",1995,2,0,0,0
22,"Zídek,George","zidekge01",1995,0,0,0,0
23,"Best,Travis","besttr01",1995,0,0,0,0
24,"Meyer,Loren","meyerlo01",1995,0,0,0,0
25,"Vaughn,David","vaughda02",1995,0,0,0,0
26,"Ford,Sherell","fordsh01",1995,0,0,0,0
27,"Bennett,Mario","bennema01",1995,0,0,0,0
28,"Ostertag,Greg","ostergr01",1995,0,0,0,0
29,"Alexander,Cory","alexaco01",1995,0,0,0,0
30,"Roe,Lou","roelo01",1995,0,0,0,0
31,"Tarlać,Dragan","tarladr01",1995,0,0,0,0
32,"Rencher,Terrence","renchte01",1995,0,0,0,0
33,"Burrough,Junior","burroju01",1995,0,0,0,0
34,"DeClercq,Andrew","declean01",1995,0,0,0,0
35,"King,Jimmy","kingji02",1995,0,0,0,0
36,"Moten,Lawrence","motenla01",1995,0,0,0,0
37,"King,Frankie","kingfr01",1995,0,0,0,0
38,"Griffith,Rashard",NA,1995,0,0,0,0
39,"Marshall,Donny","marshdo02",1995,0,0,0,0
40,"Whitfield,Dwayne","whitfdw01",1995,0,0,0,0
41,"Meek,Erik",NA,1995,0,0,0,0
42,"Boyce,Donnie","boycedo01",1995,0,0,0,0
43,"Snow,Eric","snower01",1995,0,0,0,0
44,"Pelle,Anthony",NA,1995,0,0,0,0
45,"Brown,Troy",NA,1995,0,0,0,0
46,"Banks,George",NA,1995,0,0,0,0
47,"Edney,Tyus","edneyty01",1995,0,0,0,0
48,"Davis,Mark","davisma02",1995,0,0,0,0
49,"Allen,Jerome","allenje01",1995,0,0,0,0
50,"Lewis,Martin","lewisma01",1995,0,0,0,0
51,"Bodiroga,Dejan",NA,1995,0,0,0,0
52,"Hoiberg,Fred","hoibefr01",1995,0,0,0,0
53,"Popa,Constantin",NA,1995,0,0,0,0
54,"Zukauskas,Aurelijius",NA,1995,0,0,0,0
55,"McDonald,Michael","mcdonmi01",1995,0,0,0,0
56,"Carr,Chris","carrch01",1995,0,0,0,0
57,"Martin,Cuonzo","marticu01",1995,0,0,0,0
58,"Reid,Don","reiddo01",1995,0,0,0,0
1,"Iverson,Allen","iversal01",1996,11,3,3,1
2,"Camby,Marcus","cambyma01",1996,0,0,0,0
3,"Abdur-Rahim,Shareef","abdursh01",1996,1,0,0,0
4,"Marbury,Stephon","marbust01",1996,2,0,0,2
5,"Allen,Ray","allenra02",1996,10,0,1,1
6,"Walker,Antoine","walkean02",1996,3,0,0,0
7,"Wright,Lorenzen","wrighlo02",1996,0,0,0,0
8,"Kittles,Kerry","kittlke01",1996,0,0,0,0
9,"Walker,Samaki","walkesa01",1996,0,0,0,0
10,"Dampier,Erick","dampier01",1996,0,0,0,0
11,"Fuller,Todd","fulleto02",1996,0,0,0,0
12,"Potapenko,Vitaly","potapvi01",1996,0,0,0,0
13,"Bryant,Kobe","bryanko01",1996,18,11,2,2
14,"Stojaković,Peja","stojape01",1996,3,0,1,0
15,"Nash,Steve","nashst01",1996,8,3,2,2
16,"Delk,Tony","delkto01",1996,0,0,0,0
17,"O'Neal,Jermaine","onealje01",1996,6,0,1,2
18,"Wallace,John","wallajo01",1996,0,0,0,0
19,"McCarty,Walter","mccarwa01",1996,0,0,0,0
20,"Ilgauskas,Zydrunas","ilgauzy01",1996,2,0,0,0
21,"Jones,Dontae'","jonesdo01",1996,0,0,0,0
22,"Rogers,Roy","rogerro02",1996,0,0,0,0
23,"Rentzias,Efthimi","rentzef01",1996,0,0,0,0
24,"Fisher,Derek","fishede01",1996,0,0,0,0
25,"Müürsepp,Martin","muursma01",1996,0,0,0,0
26,"Williams,Jerome","willije01",1996,0,0,0,0
27,"Evans,Brian","evansbr01",1996,0,0,0,0
28,"Lauderdale,Priest","laudepr01",1996,0,0,0,0
29,"Knight,Travis","knightr01",1996,0,0,0,0
30,"Harrington,Othella","harriot01",1996,0,0,0,0
31,"Hendrickson,Mark","hendrma01",1996,0,0,0,0
32,"Minor,Ryan",NA,1996,0,0,0,0
33,"Norris,Moochie","norrimo01",1996,0,0,0,0
34,"Harvey,Shawn",NA,1996,0,0,0,0
35,"Blair,Joseph",NA,1996,0,0,0,0
36,"Sheffer,Doron",NA,1996,0,0,0,0
37,"McInnis,Jeff","mcinnje01",1996,0,0,0,0
38,"Hamer,Steve","hamerst01",1996,0,0,0,0
39,"Millard,Russ",NA,1996,0,0,0,0
40,"Mann,Marcus",NA,1996,0,0,0,0
41,"Sasser,Jason","sasseja01",1996,0,0,0,0
42,"Livingston,Randy","livinra01",1996,0,0,0,0
43,"Davis,Ben","davisbe01",1996,0,0,0,0
44,"Rose,Malik","rosema01",1996,0,0,0,0
45,"Vogel,Joe",NA,1996,0,0,0,0
46,"Brown,Marcus","brownma01",1996,0,0,0,0
47,"Riley,Ron",NA,1996,0,0,0,0
48,"Feick,Jamie","feickja01",1996,0,0,0,0
49,"McCaskill,Amal","mccasam01",1996,0,0,0,0
50,"Bell,Terrell",NA,1996,0,0,0,0
51,"Robinson,Chris","robinch01",1996,0,0,0,0
52,"Pope,Mark","popema01",1996,0,0,0,0
53,"Nordgaard,Jeff","nordgje01",1996,0,0,0,0
54,"Anderson,Shandon","andersh01",1996,0,0,0,0
55,"Henderson,Ronnie",NA,1996,0,0,0,0
56,"Geary,Reggie","gearyre01",1996,0,0,0,0
57,"Barry,Drew","barrydr01",1996,0,0,0,0
58,"Robinson,Darnell",NA,1996,0,0,0,0
