"series_code","away","home","winner","avg_margin","games","away_url","home_url","away_net","home_net","net","home_win"
"Brooklyn Nets_Philadelphia 76ers_2019","Brooklyn Nets","Philadelphia 76ers","Philadelphia 76ers",11,5,"/teams/BRK/2019.html","/teams/PHI/2019.html",-0.0999999999999943,2.7,2.8,1
"Orlando Magic_Toronto Raptors_2019","Orlando Magic","Toronto Raptors","Toronto Raptors",14.4,5,"/teams/ORL/2019.html","/teams/TOR/2019.html",0.700000000000003,6,5.3,1
"Golden State Warriors_Los Angeles Clippers_2019","Los Angeles Clippers","Golden State Warriors","Golden State Warriors",9.83333333333333,6,"/teams/LAC/2019.html","/teams/GSW/2019.html",0.799999999999997,6.5,5.7,1
"Denver Nuggets_San Antonio Spurs_2019","San Antonio Spurs","Denver Nuggets","Denver Nuggets",1.85714285714286,7,"/teams/SAS/2019.html","/teams/DEN/2019.html",1.7,4,2.3,1
"Boston Celtics_Indiana Pacers_2019","Indiana Pacers","Boston Celtics","Boston Celtics",7.5,4,"/teams/IND/2019.html","/teams/BOS/2019.html",3.3,4.40000000000001,1.10000000000001,1
"Oklahoma City Thunder_Portland Trail Blazers_2019","Oklahoma City Thunder","Portland Trail Blazers","Portland Trail Blazers",5.8,5,"/teams/OKC/2019.html","/teams/POR/2019.html",3.40000000000001,4.2,0.799999999999997,1
"Detroit Pistons_Milwaukee Bucks_2019","Detroit Pistons","Milwaukee Bucks","Milwaukee Bucks",23.75,4,"/teams/DET/2019.html","/teams/MIL/2019.html",-0.299999999999997,8.8,9.09999999999999,1
"Houston Rockets_Utah Jazz_2019","Utah Jazz","Houston Rockets","Houston Rockets",9.2,5,"/teams/UTA/2019.html","/teams/HOU/2019.html",5.2,4.80000000000001,-0.399999999999991,1
"Philadelphia 76ers_Toronto Raptors_2019","Philadelphia 76ers","Toronto Raptors","Toronto Raptors",2.71428571428571,7,"/teams/PHI/2019.html","/teams/TOR/2019.html",2.7,6,3.3,1
"Boston Celtics_Milwaukee Bucks_2019","Boston Celtics","Milwaukee Bucks","Milwaukee Bucks",8.6,5,"/teams/BOS/2019.html","/teams/MIL/2019.html",4.40000000000001,8.8,4.39999999999999,1
